id,name,street,zip,city,lat,lon,distance_m,phone,email,website,care_type,has_kurzzeitpflege,eigenanteil_display,pg1_total_month,pg1_eigenanteil,pg1_housing_care,pg1_invest,pg2_total_month,pg2_eigenanteil,pg2_housing_care,pg2_invest,pg3_total_month,pg3_eigenanteil,pg3_housing_care,pg3_invest,pg4_total_month,pg4_eigenanteil,pg4_housing_care,pg4_invest,pg5_total_month,pg5_eigenanteil,pg5_housing_care,pg5_invest,staff_ratio,construction_year,facility_amenities,room_amenities,services,meal_info,quality_report_url,photo_count,photo_urls,visiting_always,visiting_hours,accessibility,contact_persons,last_update,google_rating,google_review_count,google_website,google_maps_url,google_place_id,google_match_distance_m,web_verfuegbare_plaetze,web_preise_details,web_zimmer_typen,web_pflegeangebote,web_besondere_schwerpunkte,web_aktivitaeten,web_lage_umgebung,web_traeger,web_besonderheiten,web_kontakt_details
8877,Seniorenzentrum am Birkenwald,Birkenwaldstr. 19,70191,Stuttgart,48.790549941217,9.1788089643484,1041,0711 259720,rezeption.birkenwald@asb-stuttgart.de,http://www.asb-in-stuttgart.de/index.php?id=98,"Kurzzeitpflege, Langzeitpflege",True,"3.033,15 €",3210.9412000000007,2210.3172000000004,1131.6240000000003,0,3033.1505,2237.09,1131.6240000000003,0,3033.1505,2237.09,1131.6240000000003,0,3033.1505,2237.09,1131.6240000000003,0,3033.1505,2237.09,1131.6240000000003,0,"Pflegegrad 1: 1 Vollzeitstelle: 4,5 Pflegebedürftige; Pflegegrad 2: 1 Vollzeitstelle: 3,5 Pflegebedürftige; Pflegegrad 3: 1 Vollzeitstelle: 2,5 Pflegebedürftige; Pflegegrad 4: 1 Vollzeitstelle: 1,9 Pflegebedürftige; Pflegegrad 5: 1 Vollzeitstelle: 1,8 Pflegebedürftige",2010,Einrichtungseigene Aufenthaltsmöglichkeiten im Freien; Eigene Haustiere erlaubt: nach Absprache,Telefonanschluss in den Bewohnerzimmern: gegen Gebühr; TV- oder Kabelanschluss in den Bewohnerzimmern: gegen Gebühr; Internetzugang in den Bewohnerzimmern: W-Lan; Möbelmitnahme möglich,"Wäscheversorgung (insbesondere Kleidung); Gymnastik, Gedächtnistraining, basale Stimulation, Besuchshund, jahreszeitliche Feiern u. a.; Für alle gesetzlich versicherten Bewohnerinnen und Bewohner besteht ein Beratungsangebot zur gesundheitlichen Versorgungsplanung nach § 132g SGB V durch einen weitergebildeten Berater.; Friseur, Fußpflege, Wäschekennzeichnung","Zwischenmahlzeiten (z.B. Joghurt, Obst) zur freien Verfügung; Teeküche ist für die individuelle Nutzung der Bewohner vorhanden; Mahlzeiten werden in der Einrichtung zubereitet (nach Absprache): Mittagessen vom Caterer im Cook&Chill-Verfahren.; Spezielle Kostformen nach Absprache möglich (z. B. vegetarisch, ohne Schweinefleisch); Diätkost (z.B. Diabetiker- oder Reduktionskost); Getränke (kalt/heiß) zur freien Verfügung; Einnahme von Mahlzeiten auf Wunsch im eigenen Zimmer möglich; Zubereitung eigener Mahlzeiten möglich; Gemeinschaftliches Mittagessen möglich",https://navigatoren.aok.de/etl/public/reports/2019/510/51081957770191-6925af330e6c9.pdf,3,https://navigatoren.aok.de/etl/public/images/nursing_home/image332092detail-63738b9906267.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/image332093detail-63738b99070fc.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/image332094detail-63738b9908273.jpg,False,,Alle Wohn- und Gemeinschaftsflächen sind für die Bewohner und deren Angehörige in der Einrichtung barrierefrei zugänglich.,,,4.5,17,http://www.asb-in-stuttgart.de/index.php?id=98,https://maps.google.com/?cid=8012580573669863431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJtXVpky7bmUcRB7DJS5RnMm8,40,,,,"Pflegeheime, Betreutes Wohnen, Ambulanter Pflegedienst / Häusliche Krankenpflege",,,Region Stuttgart - mehr als zehn Pflegeheime mit insgesamt über 700 Betreuungsplätzen,Arbeiter-Samariter-Bund Baden-Württemberg e.V. Region Stuttgart - einer der großen Hilfs- und Wohlfahrtsorganisationen,"2018 von der Stiftung Warentest ausgezeichneter Hausnotruf. Vollständige Abdeckung aller sozialen Dienstleistungen. Grundsatz: 'Wir helfen allen Menschen ohne Ansehen ihrer politischen, ethnischen, sozialen, nationalen oder religiösen Zugehörigkeit. Dabei steht der Respekt vor dem Menschen sowie die Selbstbestimmung jedes Einzelnen im Mittelpunkt unseres Handelns.'","Arbeiter-Samariter-Bund Baden-Württemberg e.V. Region Stuttgart, Mauserstraße 20, 70469 Stuttgart, T: (0711) 95484848, info@asb-stuttgart.de"
9904,Pflegezentrum Paulinenpark,Seidenstraße 35,70174,Stuttgart,48.780576981557,9.1658749310561,1173,0711 5853290,paulinenpark@diak-stuttgart.de,http://www.paulinenpark.de/,Langzeitpflege,False,"3.176,92 €",3532.7848000000004,2459.7612,1204.0236,0,3176.9161000000004,2321.05,1204.0236,0,3176.9161000000004,2321.05,1204.0236,0,3176.9161000000004,2321.05,1204.0236,0,3176.9161000000004,2321.05,1204.0236,0,Pflegegrad 1: k.A.; Pflegegrad 2: k.A.; Pflegegrad 3: k.A.; Pflegegrad 4: k.A.; Pflegegrad 5: k.A.,2013,Einrichtungseigene Aufenthaltsmöglichkeiten im Freien: Eigene Terrasse/Garten mit Hochbeeten und Bäumen; Eigene Haustiere erlaubt: nach Absprache; Bibliothek; Genderfreie Toiletten,"Telefonanschluss in den Bewohnerzimmern: vorbereitet, muss durch Dienstleister individuell freigeschaltet werden.; TV- oder Kabelanschluss in den Bewohnerzimmern; Internetzugang in den Bewohnerzimmern: vorbereitet, muss durch Dienstleister individuell freigeschaltet werden.; Möbelmitnahme möglich","Wäscheversorgung (insbesondere Kleidung); Reinigung der Zimmer; Friseur; Haustierbetreuung; Chemische Kleiderreinigung; Backen, Kochen, Kino, Gesprächskreise, Fitness, Stammtische, Gottesdienste, Basteln, Konzerte; Unterstützung bei Mahlzeiten, Mitwirken bei Aktivitäten, gemeinsame Ausflüge; Für alle gesetzlich versicherten Bewohnerinnen und Bewohner besteht ein Beratungsangebot zur gesundheitlichen Versorgungsplanung nach § 132g SGB V durch einen weitergebildeten Berater.; TV, Telefon, chem. Reinigung u. a.","Mahlzeiten werden in der Einrichtung zubereitet (nach Absprache): Frühstück und Abendessen; Teeküche ist für die individuelle Nutzung der Bewohner vorhanden; Spezielle Kostformen nach Absprache möglich (z. B. vegetarisch, ohne Schweinefleisch); Diätkost (z.B. Diabetiker- oder Reduktionskost); Zwischenmahlzeiten (z.B. Joghurt, Obst) zur freien Verfügung; Getränke (kalt/heiß) zur freien Verfügung; Einnahme von Mahlzeiten auf Wunsch im eigenen Zimmer möglich; Zubereitung eigener Mahlzeiten möglich; Gemeinschaftliches Mittagessen möglich",https://navigatoren.aok.de/etl/public/reports/2019/512/51281066370174-684a3d0f893fb.pdf,1,https://navigatoren.aok.de/etl/public/images/nursing_home/image545531detail-63738bc08ebbc.jpg,True,Besucher jederzeit willkommen,Alle Wohn- und Gemeinschaftsflächen sind für die Bewohner und deren Angehörige in der Einrichtung barrierefrei zugänglich.,,13.12.2022,4.4,35,http://www.paulinenpark.de/,https://maps.google.com/?cid=1821431110695993562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ9w6mPDnbmUcR2kDh3_EFRxk,18,,,,Kurzzeitpflege,,"Aktivitäten werden angeboten. Bewohner können bei Kaffee und Kuchen den Kindern beim Spielen zusehen (benachbarte Kita), Ausflüge zum Stuttgarter Frühlingsfest auf dem Wasen, Besuch des alten Hoppenlaufriedhofs mit historischen Grabstätten und prachtvollen alten Bäumen","Mitten in Stuttgart, Seidenstraße 35, 70174 Stuttgart. Lebendiger Ort der Begegnung mit benachbarter Kita, im benachbarten Bosch-Areal städtisches Leben, wenige Gehminuten zum alten Hoppenlaufriedhof. Öffentliche Verkehrsanbindung: Haltestelle Rosenberg-/Seidenstraße (U4, Bus 41, 42, 43), Haltestelle Berliner Platz/Liederhalle (U11, U14, U29, Bus 43), Haltestelle Berliner Platz/Hohestraße (U2, U4, U11, U14, U34, Bus 43)","DIAK Altenhilfe Stuttgart gemeinnützige GmbH, Mitglied im Diakonischen Werk Württemberg (kirchlich/diakonisch)","Hausgemeinschaften, Menschen mit Pflegebedarf leben gemeinsam mit den Kindern der benachbarten Kita in einem lebendigen Ort der Begegnung, Krempels Bistro vorhanden, aktive Teilnahme im abwechslungsreichen Alltag, Seelsorge wird angeboten","Hausleitung: Dajana Pejic, Telefon: 0711 58 53 29 - 100, E-Mail: pejic@diak-stuttgart.de; Pflegedienstleitung: Denis Smakaj, Telefon: 0711 58 53 29 - 150, E-Mail: smakaj@diak-stuttgart.de; Leitung Alltag und Wohnen: Aybüke Özdemir, Telefon: 0711 58 53 29 - 160, E-Mail: oezdemir@diak-stuttgart.de; Heimverwaltung: Elisabeth Bühl, Telefon: 0711 58 53 29 - 0, E-Mail: buehl@diak-stuttgart.de; Zentrale: Tel 0711 / 58 53 29 - 0, Fax 0711 / 58 53 29 - 199, E-Mail: paulinenpark@diak-stuttgart.de, Website: www.paulinenpark.de"
8778,Seniorenzentrum Martha-Maria Hilde und Eugen Krempel-Haus (Schwerpunkt Demenz),Tiergartenweg 6-8,70174,Stuttgart,48.784167442204,9.165430175159,1241,0711 20420,,https://sz-stuttgart.martha-maria.de/de/,"Kurzzeitpflege, Langzeitpflege",True,"3.707,22 €",3372.1672,2342.34,1160.8272,0,3707.2232,2995.76,1160.8272,0,3707.2232,2995.76,1160.8272,0,3707.2232,2995.76,1160.8272,0,3707.2232,2995.76,1160.8272,0,,,,,,Teeküche ist für die individuelle Nutzung der Bewohner vorhanden,https://navigatoren.aok.de/etl/public/reports/2019/510/51081801970174-694ce1ef4092c.pdf,0,,False,,,,,4,70,https://sz-stuttgart.martha-maria.de/de/,https://maps.google.com/?cid=1379825259371963602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJg2LscTzbmUcR0iT6RMMfJhM,41,,,,"Stationäre Pflege, Kurzzeitpflege, beschützender geronto-psychiatrischer Bereich","Beschützender geronto-psychiatrischer Bereich (Demenzbetreuung), individuelle Betreuung und persönliche Zuwendung","Seelsorge, Mittagstisch, Kaminzimmerabend mit Lesung","Grüne Halbhöhenlage in bevorzugter Wohngegend unweit der Innenstadt Stuttgart, Tiergartenweg 3, 70174 Stuttgart","Diakoniewerk Martha-Maria e.V., selbstständiges Diakoniewerk in der Evangelisch-methodistischen Kirche, Mitglied im Diakonischen Werk","Christliches Leitbild, regelmäßige Fort- und Weiterbildungen der Mitarbeitenden, praxisbezogenes Qualitätsmanagement, Beschwerdemanagement, Qualitätsbeauftragte Claudia Heinze, höchste Maßstäbe bei persönlicher und medizinischer Betreuung, Senioren-WG vorhanden","Einrichtungsleiterin: Christiane Krämer, Tel: 0711 20 42 150, E-Mail: seniorenzentrum.stuttgart@martha-maria.de, Qualitätsbeauftragte: Claudia Heinze, Tel: 0711 20 42 157, E-Mail: Claudia.Heinze@Martha-Maria.de, Adresse: Tiergartenweg 3, 70174 Stuttgart"
8636,Seniorenzentrum Martha-Maria,Tiergartenweg 3,70174,Stuttgart,48.784496950494,9.1651359769034,1271,0711 20420,,https://sz-stuttgart.martha-maria.de/de/,Langzeitpflege,False,"2.888,73 €",3314.6734000000006,2294.2764,1151.3970000000002,0,2888.7290000000003,2043.92,1151.3970000000002,0,2888.7290000000003,2043.92,1151.3970000000002,0,2888.7290000000003,2043.92,1151.3970000000002,0,2888.7290000000003,2043.92,1151.3970000000002,0,,,,,,Teeküche ist für die individuelle Nutzung der Bewohner vorhanden,https://navigatoren.aok.de/etl/public/reports/2019/510/51081547070174-694dfd4f006cf.pdf,0,,False,,,,,4,70,https://sz-stuttgart.martha-maria.de/de/,https://maps.google.com/?cid=1379825259371963602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJg2LscTzbmUcR0iT6RMMfJhM,3,,,,,,,,,,
8644,Ludwigstift,Silberburgstr. 89-95,70176,Stuttgart,48.778849967176,9.163891989898,1345,0711 61926321,ludwigstift@wohlfahrtswerk.de,http://www.wohlfahrtswerk.de/einrichtungen/ludwigstift,"Kurzzeitpflege, Langzeitpflege",True,"3.289,91 €",3515.1412000000005,2493.8316000000004,1152.3096,0,3289.9066000000007,2514.82,1152.3096,0,3289.9066000000007,2514.82,1152.3096,0,3289.9066000000007,2514.82,1152.3096,0,3289.9066000000007,2514.82,1152.3096,0,"Pflegegrad 1: 1 Vollzeitstelle: 4,3 Pflegebedürftige; Pflegegrad 2: 1 Vollzeitstelle: 3,4 Pflegebedürftige; Pflegegrad 3: 1 Vollzeitstelle: 2,4 Pflegebedürftige; Pflegegrad 4: 1 Vollzeitstelle: 1,8 Pflegebedürftige; Pflegegrad 5: 1 Vollzeitstelle: 1,6 Pflegebedürftige",2001,"Einrichtungseigene Aufenthaltsmöglichkeiten im Freien: Garten mit Pavillion und Boulebahn; Eigene Haustiere erlaubt: Nach individueller Absprache, Versorgung muss selbst organisiert werden.",Telefonanschluss in den Bewohnerzimmern; TV- oder Kabelanschluss in den Bewohnerzimmern; Internetzugang in den Bewohnerzimmern; Möbelmitnahme möglich,Wäscheversorgung (insbesondere Kleidung); Reinigung der Zimmer; Soziale Betreuung und Hausmeister intern; Gästezimmer auf Anfrage,"Mahlzeiten werden in der Einrichtung zubereitet (nach Absprache); Teeküche ist für die individuelle Nutzung der Bewohner vorhanden; Spezielle Kostformen nach Absprache möglich (z. B. vegetarisch, ohne Schweinefleisch); Diätkost (z.B. Diabetiker- oder Reduktionskost); Zwischenmahlzeiten (z.B. Joghurt, Obst) zur freien Verfügung; Getränke (kalt/heiß) zur freien Verfügung; Einnahme von Mahlzeiten auf Wunsch im eigenen Zimmer möglich; Zubereitung eigener Mahlzeiten möglich; Gemeinschaftliches Mittagessen möglich",https://navigatoren.aok.de/etl/public/reports/2019/510/51081561970176-69841bc72ea0e.pdf,0,,False,,Alle Wohn- und Gemeinschaftsflächen sind für die Bewohner und deren Angehörige in der Einrichtung barrierefrei zugänglich.,,,3.7,14,http://www.wohlfahrtswerk.de/einrichtungen/ludwigstift,https://maps.google.com/?cid=8700201370747753112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJyWuaTD_bmUcRmFLJEQ1TvXg,58,,"Eine Preisliste ist verfügbar (Link zur Preisliste vorhanden, aber keine konkreten Preise auf der Hauptseite genannt)",,"Pflegeheim, Betreutes Wohnen, Wohngruppe für Menschen mit Demenz, Kurzzeitpflege, Pflege und Betreuung zu Hause (ambulante Dienste), Gästemittagstisch","Wohngruppe für Menschen mit Demenz, Besondere Betreuung von Menschen mit Demenz (IQD Qualitätssiegel)","Gemeinsam singen, spielen, vorlesen, spazierengehen, Feste und Veranstaltungen, Ehrenamtliche Angebote, ichó Therapieball (Aktivierung und Entspannung), Rikscha-Fahrten, Tovertafel (Spiele für Menschen mit Demenz), MemoreBox (Virtuelles Training für Körper und Geist), Bewegungsangebote für Bewohner und Mitarbeitende, Schokotraum (Süße Köstlichkeiten selbst herstellen), Boule-Bahn im Garten","Stuttgart-West, zentrale Lage: In wenigen Minuten zu Fuß auf der Königstraße, bei einem Konzert in der Liederhalle oder mit Straßenbahn und Bus an zahlreichen anderen Plätzen in Stuttgart. Idyllische und geschützte Gartenanlage samt Boule-Bahn hinter dem Haus. Beliebter Stuttgarter Westen.",Wohlfahrtswerk für Baden-Württemberg,"Zentrale Lage in Stuttgart-West mit sehr guter Anbindung, idyllische Gartenanlage, mehrere Qualitätssiegel: DIN Norm Betreutes Wohnen, IQD Qualitätssiegel für Pflegeheime, IQD Qualitätssiegel für Besondere Betreuung von Menschen mit Demenz. Beteiligung an innovativen Projekten (ichó Therapieball, Rikscha, Tovertafel, MemoreBox, Bewegungsprogramme, Schokotraum). Ausbildungsbetrieb für Pflegeberufe. Großes ehrenamtliches Engagement.","Telefon: 0711 505 308-450, Kontakt für Ehrenamt: Sarah Lieb, Leiterin Sozialdienst, Telefon 0711 505 308-457, Adresse: Wohlfahrtswerk für Baden-Württemberg, Schloßstraße 80, 70176 Stuttgart, Telefon Zentrale: 0711 61926-0, E-Mail: info@wohlfahrtswerk.de, Wohnanfrage-Formular online verfügbar"
33211,Ludwigstift Domus-Wohngruppe,Silberburgstraße 89-95,70176,Stuttgart,48.778849967175,9.163891989898,1345,0711 61926321,,http://www.wohlfahrtswerk.de/einrichtungen/ludwigstift,Langzeitpflege,False,"3.837,56 €",3663.286600000001,2641.9770000000003,1152.3096,0,3837.5616,3159.12,1152.3096,0,3837.5616,3159.12,1152.3096,0,3837.5616,3159.12,1152.3096,0,3837.5616,3159.12,1152.3096,0,,,,,,Teeküche ist für die individuelle Nutzung der Bewohner vorhanden,https://navigatoren.aok.de/etl/public/reports/2019/512/51281088970176-698d50fd6e3b6.pdf,0,,False,,,,,3.7,14,http://www.wohlfahrtswerk.de/einrichtungen/ludwigstift,https://maps.google.com/?cid=8700201370747753112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJyWuaTD_bmUcRmFLJEQ1TvXg,58,,,,,,,,,,
8672,Haus Veronika,Gänseheidestr. 49,70184,Stuttgart,48.772806991407,9.1949399220738,1354,0711 2136500,,,Langzeitpflege,False,"3.449,75 €",3717.7384,2665.0962,1183.6422,0,3449.7506999999996,2666.01,1183.6422,0,3449.7506999999996,2666.01,1183.6422,0,3449.7506999999996,2666.01,1183.6422,0,3449.7506999999996,2666.01,1183.6422,0,,,,,,Teeküche ist für die individuelle Nutzung der Bewohner vorhanden,https://navigatoren.aok.de/etl/public/reports/2019/510/51081615370184-6968565a10e04.pdf,0,,False,,,,,,,,,,,,,,,,,,,,
8593,Haus Martinus,Olgastraße 93A,70180,Stuttgart,48.768767989838,9.1803469699464,1409,0711 2090770,,http://www.caritas-stuttgart.de/haus-martinus,"Kurzzeitpflege, Langzeitpflege",True,"3.316,98 €",3552.862000000001,2504.4786000000004,1179.3834000000002,0,3316.9804000000004,2514.82,1179.3834000000002,0,3316.9804000000004,2514.82,1179.3834000000002,0,3316.9804000000004,2514.82,1179.3834000000002,0,3316.9804000000004,2514.82,1179.3834000000002,0,,,,,Einzugsgespräch in der Pflegeeinrichtung,Teeküche ist für die individuelle Nutzung der Bewohner vorhanden,https://navigatoren.aok.de/etl/public/reports/2019/510/51081413970180-68ee719a64d3a.pdf,13,https://navigatoren.aok.de/etl/public/images/nursing_home/php9hnihl-63f616c75c066.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/phply3v9s-63f616cfc407f.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/phpq3ptfs-63f616db86bcc.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/phplvclgy-63f616e28655c.jpg; https://navigatoren.aok.de/etl/public/images/nursing_home/phppv6aqv-63f616ea655b3.jpg,True,Besucher jederzeit willkommen,,Beratung und Aufnahme (),22.02.2023,4.4,13,http://www.caritas-stuttgart.de/haus-martinus,https://maps.google.com/?cid=17474071613053738263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ06N91rLEmUcRFx3O64xfgPI,20,Keine spezifischen Informationen über verfügbare Plätze oder Warteliste auf der Webseite gefunden.,"Preislisten sind als PDF-Downloads verfügbar:
- Preisübersicht Dauerpflege 2026 (Stand 01.2026)
- Preisübersicht Kurzzeitpflege 2026 (Stand 01.2026)
Spezifische Preiszahlen sind nicht direkt auf der Webseite angegeben, sondern nur in den PDF-Dokumenten.","87 Einzelzimmer mit eigenem Bad auf vier Stockwerken. Moderne und freundlich gestaltete Einzelzimmer. Zusätzlich werden Wohneinheiten mit zwei Einzelzimmern, einem Vorflur sowie einem gemeinsamen Bad angeboten - diese sind besonders passend für Paare oder Personen, die gemeinsam ihren Lebensabend verbringen möchten. Eigene Möbel können mitgebracht werden.",Vollstationäre Pflege und Kurzzeitpflege. Das Haus ist nach dem Hausgemeinschaftsmodell organisiert mit sieben Hausgemeinschaften zwischen 9 und 15 Personen. In den Hausgemeinschaften Weinsteige und Karlshöhe wird besonders auf die Bedürfnisse von Menschen mit Demenz eingegangen.,"Demenzbetreuung: In den Hausgemeinschaften Weinsteige und Karlshöhe wird besonders auf die Bedürfnisse von Menschen mit Demenz eingegangen. Seelsorgerische Begleitung durch Seelsorgerin, Ordensschwestern oder katholische bzw. evangelische Kirchgemeinde. Regelmäßige Gottesdienste und Andachten. Eigene Kapelle im Haus.",Regelmäßige Gottesdienste und Andachten. Begegnungsstätte Plus im Bischof-Moser-Haus mit vielfältigen Angeboten für Interessierte aus dem Stadtteil. Alle Mahlzeiten werden frisch in den jeweiligen Hausgemeinschaften zubereitet. Gemeinsames Mittagessen im Wohn- und Esszimmer der Hausgemeinschaft.,"Zentral in Stuttgart-Mitte in der Nähe des Wilhelmsplatzes gelegen, Olgastraße 93a. Wunderbarer Blick auf die lebendige Olgastraße und über die ganze Stadt. Mitten in der Stadt gelegen. Gut zu Fuß erreichbar ist die Begegnungsstätte Plus im Bischof-Moser-Haus.","Caritasverband für Stuttgart e.V. - kirchlicher Träger (katholisch). Das Haus ist die älteste und neueste Altenhilfeeinrichtung im Caritasverband in Stuttgart, 1967 erstmals eröffnet, komplett saniert und modernisiert, seit Januar 2021 wieder geöffnet.",Hausgemeinschaftsmodell mit sieben Hausgemeinschaften. Komplett saniert und modernisiert (Wiedereröffnung Januar 2021). 11 barrierefreie Sozialwohnungen im Rahmen des betreuten Wohnens am Haus angegliedert. Eigene Kapelle im Haus. Frische Zubereitung aller Mahlzeiten in den Hausgemeinschaften. Öffentliche Hausführungen jeden 1. Freitag im Monat von 15 bis 16 Uhr (keine Anmeldung erforderlich). Qualitätsberichte verfügbar: Qualitätsinformation des MDK und IQD-Qualitätsbericht.,"Hausleitung: Martina Wagner, Tel: +49 711 209077-21, E-Mail: HausMartinus@caritas-stuttgart.de
Pflegedienstleitung: Bilhan Demirov, Tel: +49 711 209077-23, E-Mail: HausMartinus@caritas-stuttgart.de
Adresse: Caritasverband für Stuttgart e.V., Olgastraße 93a, 70180 Stuttgart
Beauftragter für Medizinproduktesicherheit: Martinus-Medprodba@caritas-stuttgart.de
Beratung und Aufnahme für weitere Informationen verfügbar."
8655,Friederike-Fliedner-Haus,Rosenbergstr. 40,70176,Stuttgart,48.780652986584,9.1622319930844,1439,0711 9913000,tatjana.panina@diak-stuttgart.de,,"Kurzzeitpflege, Langzeitpflege",True,"2.930,04 €",3346.3102000000003,2395.2708000000002,1082.0394000000001,0,2930.0414,2174.12,1082.0394000000001,0,2930.0414,2174.12,1082.0394000000001,0,2930.0414,2174.12,1082.0394000000001,0,2930.0414,2174.12,1082.0394000000001,0,Pflegegrad 1: k.A.; Pflegegrad 2: k.A.; Pflegegrad 3: k.A.; Pflegegrad 4: k.A.; Pflegegrad 5: k.A.,,Einrichtungseigene Aufenthaltsmöglichkeiten im Freien; Eigene Haustiere,Telefonanschluss in den Bewohnerzimmern; TV- oder Kabelanschluss in den Bewohnerzimmern; Internetzugang in den Bewohnerzimmern; Möbelmitnahme,,"Mahlzeiten werden in der Einrichtung zubereitet (nach Absprache); Spezielle Kostformen nach Absprache möglich (z. B. vegetarisch, ohne Schweinefleisch); Diätkost (z.B. Diabetiker- oder Reduktionskost); Zwischenmahlzeiten (z.B. Joghurt, Obst) zur freien Verfügung; Getränke (kalt/heiß) zur freien Verfügung; Einnahme von Mahlzeiten auf Wunsch im eigenen Zimmer möglich; Zubereitung eigener Mahlzeiten möglich; Gemeinschaftliches Mittagessen möglich; Teeküche ist für die individuelle Nutzung der Bewohner vorhanden",https://navigatoren.aok.de/etl/public/reports/2019/510/51081585770176-69549f0b3ae74.pdf,0,,False,,,,,,,,,,,,,,,,,,,,
8469,Württ. Lutherstift,Silberburgstr. 27,70176,Stuttgart,48.783328953116,9.1599379653434,1618,0711 229130,wuertt-lutherstift@ev-heimstiftung.de,https://www.ev-heimstiftung.de/stuttgart-wuertt-lutherstift/,"Kurzzeitpflege, Langzeitpflege",True,"3.116,54 €",3266.914,2275.7202,1122.1938,0,3116.5402999999997,2346.29,1122.1938,0,3116.5402999999997,2346.29,1122.1938,0,3116.5402999999997,2346.29,1122.1938,0,3116.5402999999997,2346.29,1122.1938,0,Pflegegrad 1: k.A.; Pflegegrad 2: k.A.; Pflegegrad 3: k.A.; Pflegegrad 4: k.A.; Pflegegrad 5: k.A.,2007,Einrichtungseigene Aufenthaltsmöglichkeiten im Freien; Eigene Haustiere erlaubt: nach Genehmigung der Hausdirektion,Telefonanschluss in den Bewohnerzimmern; TV- oder Kabelanschluss in den Bewohnerzimmern; Internetzugang in den Bewohnerzimmern: freies W-LAN in der gesamten Einrichtung; Möbelmitnahme möglich,Wäscheversorgung (insbesondere Kleidung); Reinigung der Zimmer; Hausmeisterservice; Soziale Betreuung,"Gemeinschaftliches Mittagessen möglich; Teeküche ist für die individuelle Nutzung der Bewohner vorhanden; Mahlzeiten werden in der Einrichtung zubereitet (nach Absprache): Das Essen wird nach dem Cook & Chill Verfahren in Konvektomaten regeneriert.; Zubereitung eigener Mahlzeiten möglich; Spezielle Kostformen nach Absprache möglich (z. B. vegetarisch, ohne Schweinefleisch); Diätkost (z.B. Diabetiker- oder Reduktionskost); Zwischenmahlzeiten (z.B. Joghurt, Obst) zur freien Verfügung; Getränke (kalt/heiß) zur freien Verfügung; Einnahme von Mahlzeiten auf Wunsch im eigenen Zimmer möglich",https://navigatoren.aok.de/etl/public/reports/2019/510/51081125070176-697add32e24ed.pdf,0,,False,,Alle Wohn- und Gemeinschaftsflächen sind für die Bewohner und deren Angehörige in der Einrichtung barrierefrei zugänglich.,,,4.6,37,https://www.ev-heimstiftung.de/stuttgart-wuertt-lutherstift/,https://maps.google.com/?cid=16107156402160240728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ2VOVCT7bmUcRWIhrjGgdiN8,3,,,,,,,,,,
